Composite Ticker,Composite Name,RIC,Bloomberg Symbol,FutVal,Exchange,52 Week Price Range,AveVol,NAV Date,NAV,AUM,Market Cap,Leverage,Inception Date,Expense Ratio,MorningStar Category,ETF Type,Total Holdings,YTD Return,1 month Return,1 Year Return,3 Year Return,Percent Above Constituent's 200 Day Moving Average,Advances,Declines,Advancing Volume,Declining Volume,New 1 Year Highs,New 1 Year Lows,FutVal,FutVal,FutVal,FutVal,FutVal,CUSIP,ISIN,Description
AMJL,Credit Suisse X-Links MP2xLvgAlrnMLP ETN,AMJL.K,AMJL:US,,NYSEArca,1.1880 - 1.4764,44104,04/14/2020, , ,111412000,1,2016-05-17,0.85,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,22539T290,NULL,Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index ETN is an exchange-traded note issued in the USA. The ETN tracks the Alerian MLP Index on a monthly compounded 2x leveraged basis. The ETN may also pay a monthly coupon tied to the distributions of the Index constituents.
REML,Credit Suisse X-LinksMP2xLvgMortREIT ETN,REML.K,REML:US,,NYSEArca,2.7500 - 3.6500,618348,04/14/2020, , ,111412000,1,2016-07-13,0.50,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,22539T282,BYT0462,Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETN is an exchange-traded note issued in the USA. The ETN tracks the FTSE NAREIT All Mortgage Capped Index on a monthly compounded 2x leveraged basis. The ETN also pays a variable monthly coupon tied to the distributions of the Index constituents.
USOI,Credit Suisse X-Lnks Crde OlShrsCvCllETN,USOI.O,USOI:US,,NasdaqGS,10.00 - 10.83,13961,04/14/2020, , ,111412000,1,2017-04-25,0.85,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,22539T266,BZ8FYS7,The fund seeks a return linked to the performance of the price return version of the Credit Suisse Nasdaq WTI Crude Oil FLOWSTM 106 Index (the    index   ). The index measures the return of a    covered call    sategy on the shares of the United States Oil Fund  LP (the    USO Fund     and such shares the    USO Shares   ) by reflecting changes in the price of the USO Shares and the notional option premiums received from the notional sale of monthly call options on the USO Shares less the Notional Transaction Costs incurred in connection with the implementation of the covered call sategy.
AFTY,CSOP FTSE China A50 ETF,AFTY.K,AFTY:US,,NYSEArca,15.28 - 15.45,19137,04/14/2020,15.4515, ,8487929.023,1,2015-03-11,0.70,,Global Equity ETF,50,,,,,na,na,na,na,na,na,na,,,,,,69374H626,BKKKZG0,The investment seeks to provide investment results that  before fees and expenses  track the performance of the FTSE China A50 Net Total Return Index.  The fund will typically invest at least 80% of its total assets in the securities included in its underlying index. The index is comprised of A-Shares issued by the 50 largest companies in the China A-Shares market. The fund may invest the remainder of its assets in investments that are not included in the index  but which the Adviser believes will help the fund track the index.
CNHX,CSOP MSCI China A International Hdgd ETF,CNHX.K,CNHX:US,,NYSEArca,27.49 - 27.49,0,04/14/2020, , ,1373309.93,1,2015-10-20,0.79,,Global Equity ETF,225,,,,,na,na,na,na,na,na,na,,,,,,12649L204,NULL,The investment seeks to track the performance of the MSCI China A International with CNH 100% Hedged to USD Index.  The index is designed to track the equity market performance of Chinese securities (A-Shares) listed on both the Shanghai Stock Exchange and the Shenzhen Stock Exchange  while at the same time neualizing exposure to the fluctuations of the RMB relative to the USD. The fund will typically invest at least 80% of its total assets in the securities of the index. It may invest the remainder of its assets in investments that are not included in the index  but which the Adviser believes will help the fund track the index.
MLPC,C-Tracks Bsd on Perf of M/H MLP Fdmt ETN,MLPC.K,MLPC:US,,NYSEArca,5.43 - 5.45,63812,04/14/2020, , ,97944336696,1,2013-09-25,0.95,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,17321F201,BF4JH62,The investment seeks a return that based on the Performance of the Miller/Howard MLP Fundamental Index (the    index   )  which the adviser refer to as the C-Tracks  are unsecured senior debt securities issued by Citigroup Inc. The index is designed to measure the performance of 25 energy master limited partnerships (   MLPs   ) selected quarterly by a methodology that is based upon certain quantitative fundamental factors of publicly aded MLPs  including disibution growth  estimated capital expenditures and disibution coverage.
DIVC,C-Tracks ETN Miller/Howard Strt Div Rinv ETN,DIVC.K,DIVC:US,,NYSEArca,23.70 - 23.70,485,04/14/2020, , ,97944336696,1,2014-09-11,0.70,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,17322H149,BQVBS43,The investment seeks to provide exposure to the performance of the Miller/Howard Sategic Dividend Index Total Return.  The C-Tracks Exchange-Traded Notes Miller/Howard Sategic Dividend Reinvestor  are unsecured senior debt securities. The index is designed to track the performance of 30 equally weighted stocks aded on U.S. exchanges selected quarterly pursuant to rules based upon certain quantitative fundamental factors  including dividend yield  expected growth of dividend yield  market valuation relative to book value  return on invested capital relative to price-to-earnings ratio and ailing 26-week stock price momentum.
MLPE,C-Tracks ETNs Miller/Howard MLP Fdmtl B,MLPE.K,MLPE:US,,NYSEArca,8.20 - 8.20,372,04/14/2020, , ,1232512.89,1,2016-08-08,0.85,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,17324P859,BYM5X56,The C-Tracks ETNs based on the Miller/Howard MLP Fundamental Index Series B is an exchange-traded note issued in the USA by Citigroup Global Markets Holdings Inc. Fully and Unconditionally Guaranteed by Citigroup Inc. The Notes will provide investors with a cash payment at the scheduled maturity or early redemption based on the performance of the Miller/Howard MLP Fundamental Index.
AGATF,DB Agriculture Double Short ETN,AGATF.PK,AGATF:US,,Other OTC,30.05 - 30.05,3,04/14/2020, , , ,-2,,,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,25154H566,B2QY407,DB Agriculture Double Short ETN is an exchange-traded note issued inthe USA by Deutsche Bank AG (London). The Notes will provide investors with a cash payment at the scheduled maturity or early redemption based on the double the inverse (opposite) performance of its underlying index plus the monthly T-Bill index return.
BDD,DB Base Metals Double Long ETN,BDD,BDD:US,,NYSEArca,7.80 - 7.80,1143,04/14/2020, , , ,2,2008-06-16,0.75,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,NULL,NULL,The investment seeks to track the price and yield performance  before fees and expenses  200% of the daily return of the Deutsche Bank Liquid Commodity index - Optimum Yield Indusial Metals Excess Return.  The fund allows investors to take a leveraged view on the performance of the indusial metals sector. The index is a rules-based index composed of futures conacts on some of the most liquid and widely used base metals  aluminum  zinc and copper.
BDG,DB Base Metals Long ETN,BDGXF.PK,BDG:US,,YHD,,,04/14/2020, , ,396413874,1,N/A,N/A,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,NULL,BW9PJS0,DB Base Metals Long ETN is an exchange-traded note issued in the USA by Deutsche Bank AG (London). The Notes will provide investors with a cash payment at the scheduled maturity or early redemption based on the performance of its underlying index plus the monthly T-Bill index return.
DYY,DB Commodity Double Long ETN,DYY,DYY:US,,NYSEArca,2.1100 - 2.1150,0,04/14/2020, , , ,2,2008-04-28,0.75,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,NULL,NULL,The investment seeks to replicate  net of expenses  twice the daily performance of the Deutsche Bank Liquid Commodity Index - Optimum Yield.  The index is intended to reflect changes in the market value of certain commodity futures conacts based on crude oil  heating oil  corn  wheat  gold and aluminum. The T-Bill Index is intended to approximate the returns from investing in 3-month United States Treasury bills on a rolling basis.
DEE,DB Commodity Double Short ETN,DEE.N,DEE:US,,NYSEArca,0.00 - 0.00,0,04/14/2020, , , ,-2,2008-04-28,0.75,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,25154H483,NULL,DB Commodity Double Short ETN is an exchange-traded note issued in the USA by Deutsche Bank AG (London). The Notes will provide investors with a cash payment at the scheduled maturity or early redemption based on the double the inverse (opposite) performance of its underlying index plus the monthly T-Bill index return.
DTO,DB Crude Oil Double Short ETN,DTO,DTO:US,,NYSEArca,47.00 - 83.00,9927,04/14/2020, , , ,-2,2008-06-16,0.75,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,25154K809,B39ZH27,The investment seeks to track the price and yield performance  before fees and expenses  200% of the inverse daily performance of the Deutsche Bank Liquid Commodity Index - Optimum Yield Oil Excess Return.  The fund allows investors to take a short view on the performance of the index. The index is a rules-based index composed of futures conacts on light sweet crude oil (WTI) and is intended to reflect the performance of crude oil.
SZO,DB Crude Oil Short ETN,SZOXF.PK,SZO:US,,NYSEArca,55.69 - 60.00,0,04/14/2020, , , ,-1,2008-06-16,0.75,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,25154K874,B39ZH50,The investment seeks to track the price and yield performance  before fees and expenses  of the Deutsche Bank Liquid Commodity index - Optimum Yield Oil Excess Return.  The fund allows investors to take a short view on the performance of the index. The index is a rules-based index composed of futures conacts on light sweet crude oil (WTI) and is intended to reflect the performance of crude oil.
FIEG,DB FI Enhanced Global High Yield ETN,FIEG.K,FIEG:US,,NYSEArca,176.00 - 176.00,0,04/14/2020, , , ,1,2013-10-07,0.10,,ETN,na,,,,,na,na,na,na,na,na,na,,,,,,25155L293,BFHCR46,The investment seeks a return Linked to the MSCI World High Dividend Yield USD Gross Total Return Index due October 12  2023 (the    securities   ).
ASHX,Deutsche X-trackers CSI300 CHN A Hdgd Eq ETF,ASHX.K,ASHX:US,,NYSEArca,19.70 - 19.92,1545,04/14/2020,19.49,14619724,14561269.42,1,2015-10-20,0.60,,Global Equity ETF,468,,,,,na,na,na,na,na,na,na,,,,,,233051523,BYSQHB7,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the MSCI China A Inclusion Index.  The fund will normally invest at least 80% of its total assets in securities (including depositary receipts in respect of such securities) of issuers that comprise the underlying index. The underlying index is designed to track the equity market performance of China A-Shares that are accessible through the Shanghai-Hong Kong Stock Connect program or the Shenzhen-Hong Kong Stock Connect program. The fund is non-diversified.
EMIH,Deutsche X-trackers EMkts Bd Intr Rt Hdg ETF,EMIH.K,EMIH:US,,BATS,19.72 - 19.90,4338,04/14/2020,19.67,4918162,4775019.1,1,2015-03-03,0.45,,Global Fixed Income ETF,50,,,,,na,na,na,na,na,na,na,,,,,,233051713,BW9P6P6,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the Solactive Emerging Markets Bond - Interest Rate Hedged Index.  The fund will invest at least 80% of its total assets  but typically far more  in insuments that comprise the underlying index. The index is comprised of (a) long positions in U.S. dollar-denominated government debt issued by emerging market counies  and (b) short positions in U.S. Treasury notes or bonds of  in aggregate  approximate equivalent duration to the emerging markets sovereign debt. The fund is non-diversified.
EURZ,Deutsche X-trackers Eurozone Equity ETF,EURZ.K,EURZ:US,,BATS,17.86 - 17.95,9729,04/14/2020,17.77, ,4422842.691,1,2015-08-19,0.09,,Global Equity ETF,289,,,,,na,na,na,na,na,na,na,,,,,,233051564,BX909P9,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the NASDAQ Eurozone Large Mid Cap Index (the 'underlying index').  The fund will invest at least 80% of its total assets (but typically far more) in component securities (including depositary receipts in respect of such securities) of the underlying index. The underlying index is designed to track the performance of equity securities of large- and mid-capitalization companies based in the counies in the Economic and Monetary Union (the 'EMU' or 'Eurozone') of the European Union ('EU'). The fund is non-diversified.
DEEF,Deutsche X-trackers FTSE Dev exUSCmpsFtr ETF,DEEF.K,DEEF:US,,NYSEArca,22.59 - 22.94,21750,04/14/2020,22.7,61286594,60992482.59,1,2015-11-24,0.24,,Global Equity ETF,1184,,,,,na,na,na,na,na,na,na,,,,,,233051515,BZ6DM56,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the FTSE Developed ex US Comprehensive Factor Index.  The fund will normally invest at least 80% of its net assets  plus the amount of any borrowings for investment purposes  in equity securities of issuers from developed markets counies other than the United States. The index is designed to track the equity market performance of companies in developed counies selected on the investment style criteria of value  momentum  quality  low volatility and size. The fund is non-diversified.
ASHR,Deutsche X-Trackers Harvest China ETF,ASHR.K,ASHR:US,,NYSEArca,26.69 - 27.10,9243219,04/14/2020,26.65,1628313194,1714550027,1,2013-11-06,0.65,,Global Equity ETF,302,,,,,na,na,na,na,na,na,na,,,,,,233051879,BG6N3R2,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the CSI 300 Index.  The fund will normally invest at least 80% of its total assets in securities of issuers that comprise the underlying index. The underlying index is designed to reflect the price fluctuation and performance of the China A-Share market and is composed of the 300 largest and most liquid stocks in the China A-Share market. The underlying index includes small-cap  mid-cap  and large-cap stocks.
HYUP,Deutsche X-Trackers High Beta High Yield Bond ETF,HYUP.K,HYUP:US,,NYSEArca,43.04 - 43.30,1751,04/14/2020,42.53, ,132804042.8, ,2018-01-11,0.20,,Global Fixed Income ETF,530,,,,,na,na,na,na,na,na,na,,,,,,233051259,BF02YH5,
ASHS,Deutsche X-Trackers Hrvst CSI 500China A Sm Cp ETF,ASHS.K,ASHS:US,,NYSEArca,27.16 - 27.50,38958,04/14/2020,26.65,29315401,29238026.58,1,2014-05-21,0.65,,Global Equity ETF,502,,,,,na,na,na,na,na,na,na,,,,,,233051754,BLLHGG4,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the CSI 500 Index.  The index is designed to reflect the price fluctuation and performance of small-cap companies in the China A-Share market and is composed of the 500 smallest and most liquid stocks in the China A-Share market. Under normal circumstances  the fund invests at least 80% of its net assets  plus the amount of any borrowings for investment purposes  in A-Shares of Chinese small-cap issuers or in derivative insuments and other securities that provide investment exposure to A-Shares of Chinese small-cap issuers.
CN,Deutsche X-Trackers Hvst MSCI All China Eq ETF,CN,CN:US,,NYSEArca,31.67 - 31.95,5816,04/14/2020,31.75,34922260,34663231.51,1,2014-04-29,0.50,,Global Equity ETF,239,,,,,na,na,na,na,na,na,na,,,,,,233051762,BLLHG97,The investment seeks investment results that correspond to the performance  before fees and expenses  of the MSCI China All Shares Index.  The fund will normally invest at least 80% of its total assets in securities of issuers that comprise either directly or indirectly the underlying index or securities with economic characteristics similar to those included in the underlying index. The underlying index is designed to capture large- and mid-capitalization representation across all China securities listed in Hong Kong  Shanghai and Shenzhen. It is non-diversified.
HYIH,Deutsche X-trackers HY Corp Bd IntrRtHdg ETF,HYIH.K,HYIH:US,,BATS,19.01 - 19.83,6785,04/14/2020,19.37,9684874,9880019.76,1,2015-03-03,0.35,,Global Fixed Income ETF,6,,,,,na,na,na,na,na,na,na,,,,,,233051747,BW4Y9K4,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the Solactive High Yield Corporate Bond - Interest Rate Hedged Index.  The fund will invest at least 80% of its total assets  but typically far more  in insuments that comprise the underlying index. The index is comprised of (a) long positions in U.S. dollar-denominated high yield corporate bonds and (b) short positions in U.S. Treasury notes or bonds ('Treasury Securities') of  in aggregate  approximate equivalent duration to the high yield bonds.
HAUZ,Deutsche X-Trackers International Real Estate ETF,HAUZ.K,HAUZ:US,,NYSEArca,21.98 - 22.37,174901,04/14/2020,22.16, ,214467022.1, ,2013-10-01,0.10,,Global Equity ETF,543,,,,,na,na,na,na,na,na,na,,,,,,233051846,BC1J452,
IGIH,Deutsche X-trackers Invt Grd BdIntrRtHdg ETF,IGIH.K,IGIH:US,,BATS,21.85 - 22.02,2970,04/14/2020,21.69,4338134,4396021.98,1,2015-03-03,0.25,,Global Fixed Income ETF,370,,,,,na,na,na,na,na,na,na,,,,,,233051739,BW4Y9H1,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the Solactive Investment Grade Bond - Interest Rate Hedged Index.  The fund will invest at least 80% of its total assets  but typically far more  in insuments that comprise the underlying index. The index is comprised of (a) long positions in U.S. dollar-denominated investment-grade corporate bonds and (b) short positions in U.S. Treasury notes or bonds ('Treasury Securities') of  in aggregate  approximate equivalent duration to the investment-grade corporate bonds.
JPN,Deutsche X-trackers JPN JPX-Nikkei400 Eq ETF,JPN,JPN:US,,NYSEArca,24.61 - 24.61,13461,04/14/2020,24.35,24354834,24435024.44,1,2015-06-24,0.09,,Global Equity ETF,399,,,,,na,na,na,na,na,na,na,,,,,,233051663,BYR08Y0,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the JPX-Nikkei 400 Net Total Return Index.  The index is designed to track the performance of equity securities of issuers who are primarily listed on the JASDAQ Stock Exchange or the following sections of the Tokyo Stock Exchange: the first section (for large companies)  the second section (for middle-sized companies) and the 'Mothers' (for high-growth and emerging stocks). The fund will invest at least 80% of its total assets in component securities of the underlying index.
HYDW,Deutsche X-Trackers Low Beta High Yield Bond ETF,HYDW.K,HYDW:US,,NYSEArca,48.01 - 48.79,11845,04/14/2020,48.02, ,152397048.4, ,2018-01-11,0.20,,Global Fixed Income ETF,516,,,,,na,na,na,na,na,na,na,,,,,,233051267,BF2P7M8,
ACSG,Deutsche X-Trackers MSCI ACWI ex USA ESG LdrsEqETF,ACSG.K,ACSG:US,,NYSEArca,22.89 - 23.01,1782,04/14/2020,22.66, ,6828442.761, ,2018-12-04,0.16,,Global Equity ETF,848,,,,,na,na,na,na,na,na,na,,,,,,233051192,BFWG3M3,
DBAW,Deutsche X-Trackers MSCI AW exUS Hdgd Eq ETF,DBAW.K,DBAW:US,,NYSEArca,24.16 - 24.33,29100,04/14/2020,24.06,92621438,91976523.89,1,2014-01-22,0.40,,Global Equity ETF,1978,,,,,na,na,na,na,na,na,na,,,,,,233051820,BG6N8Z5,The investment seeks investment results that correspond generally to the performance  of the MSCI ACWI ex USA US Dollar Hedged Index.  The fund  using a 'passive' or indexing investment approach  seeks investment results that correspond generally to the performance  of the underlying index  which is designed to track the performance of equity securities in developed and emerging stock markets while mitigating exposure to fluctuations between the value of the USD and the currencies of the counies included in the underlying index. It will invest at least 80% of its total assets in component securities of the underlying index.
DBEF,Deutsche X-Trackers MSCI EAFE Currency-Hedged Equity Fund ETF,DBEF.K,DBEF:US,,NYSEArca,27.76 - 28.11,868200,04/14/2020,27.82,3737800477,3717486636,1,2011-06-09,0.35,,Commodity Based ETF,933,,,,,na,na,na,na,na,na,na,,,,,,233051200,B57CW30,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the MSCI EAFE US Dollar Hedged Index.  The fund  using a 'passive' or indexing investment approach  seeks investment results that correspond generally to the performance  before fees and expenses  of the underlying index  which is designed to track developed market performance while mitigating exposure to fluctuations between the value of the U.S. dollar and the currencies of the counies included in the underlying index. It will invest at least 80% of its total assets in component securities of the underlying index.
EASG,Deutsche X-Trackers MSCI EAFE ESG Leaders Eq ETF,EASG.K,EASG:US,,NYSEArca,21.89 - 22.03,3919,04/14/2020,21.75, ,8701261.753, ,2018-09-05,0.14,,Global Equity ETF,430,,,,,na,na,na,na,na,na,na,,,,,,233051218,BD1M8D4,
HDEF,Deutsche X-trackers MSCI EAFE HiDvYdHgEq ETF,HDEF.K,HDEF:US,,NYSEArca,18.90 - 19.17,287811,04/14/2020,19.06,390697834,387860018.9,1,2015-08-12,0.20,,Global Equity ETF,121,,,,,na,na,na,na,na,na,na,,,,,,233051630,BX909W6,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the MSCI EAFE High Dividend Yield Index.  The fund will invest at least 80% of its total assets (but typically far more) in component securities of the underlying index. The underlying index is designed to reflect the performance of equities in its parent index  the MSCI EAFE Index  with higher dividend income and quality characteristics than average dividend yields of equities in the parent index  where such higher dividend income and quality characteristics are both sustainable and persistent.
DBEM,Deutsche X-Trackers MSCI Em Mkts Hdg Eq ETF,DBEM.K,DBEM:US,,NYSEArca,22.26 - 22.49,37409,04/14/2020,20,93999124,92793792,1,2011-06-09,0.65,,Global Equity ETF,1273,,,,,na,na,na,na,na,na,na,,,,,,233051101,B4PLDR3,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the MSCI EM US Dollar Hedged Index.  The fund  using a 'passive' or indexing investment approach  seeks investment results that correspond generally to the performance  before fees and expenses  of the underlying index  which is designed to track emerging market performance while mitigating exposure to fluctuations between the value of the U.S. dollar and the currencies of the counies included in the underlying index. It will invest at least 80% of its total assets in component securities of the underlying index.
EMSG,Deutsche X-Trackers MSCI EMs ESG Leaders Eq ETF,EMSG.K,EMSG:US,,NYSEArca,22.00 - 22.11,4079,04/14/2020,22.05, ,6632992.11, ,2018-12-04,0.20,,Global Equity ETF,440,,,,,na,na,na,na,na,na,na,,,,,,233051226,BD1M8F6,
DBEZ,Deutsche X-Trackers MSCI EMU Hedged Eq ETF,DBEZ.K,DBEZ:US,,NYSEArca,26.08 - 26.31,7048,04/14/2020,26.17,19626251,19423825.9,1,2014-12-10,0.45,,Global Equity ETF,679,,,,,na,na,na,na,na,na,na,,,,,,233051697,BTF3125,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the MSCI EMU IMI US Dollar Hedged Index.  The fund  using a 'passive' or indexing investment approach  seeks investment results that correspond generally to the performance  of the underlying index  which is designed to track the performance of equity securities based in the counies in the European Monetary Union  while seeking to mitigate exposure to fluctuations between the value of the U.S. dollar and the euro. It will invest at least 80% of its total assets in component securities of the underlying index.
DBEU,Deutsche X-Trackers MSCI Europe Hdgd Eq ETF,DBEU.K,DBEU:US,,NYSEArca,25.14 - 25.54,361667,04/14/2020,25.3,457845860,455577025.2,1,2013-10-01,0.45,,Global Equity ETF,449,,,,,na,na,na,na,na,na,na,,,,,,233051853,BC1J441,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the MSCI Europe US Dollar Hedged Index.  The fund  using a 'passive' or indexing investment approach  seeks investment results that correspond generally to the performance  of the underlying index  which is designed to track the performance of the developed markets in Europe  while mitigating exposure to fluctuations between the value of the U.S. dollar and the currencies of the counies included in the underlying index. It will invest at least 80% of its total assets in component securities of the underlying index.
DBGR,Deutsche X-Trackers MSCI Germany Hedged Eq ETF,DBGR.K,DBGR:US,,NYSEArca,22.99 - 23.17,1435,04/14/2020,23,13820010,13733086.4,1,2011-06-09,0.45,,Global Equity ETF,61,,,,,na,na,na,na,na,na,na,,,,,,233051408,B43L6P4,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the MSCI Germany US Dollar Hedged Index.  The fund  using a 'passive' or indexing investment approach  seeks investment results that correspond generally to the performance  before fees and expenses  of the underlying index  which is designed to track the performance of the German equity market while mitigating exposure to fluctuations between the value of the U.S. dollar and the euro. It will invest at least 80% of its total assets (but typically far more) in component securities of the underlying index. The fund is non-diversified.
DBJP,Deutsche X-Trackers MSCI Japan Currency-Hedged Equity Fund ETF,DBJP.K,DBJP:US,,NYSEArca,36.19 - 36.63,228708,04/14/2020,35.88,209915763,211038356,1,2011-06-09,0.45,,Commodity Based ETF,326,,,,,na,na,na,na,na,na,na,,,,,,233051507,B4L8V07,The investment seeks investment results that correspond generally to the performance  of the MSCI Japan US Dollar Hedged Index.  The fund  using a 'passive' or indexing investment approach  seeks investment results that correspond generally to the performance  of the underlying index  which is designed to track the performance of the Japanese equity market while mitigating exposure to fluctuations between the value of the U.S. dollar and the Japanese yen. It will invest at least 80% of its total assets in component securities (including depositary receipts in respect of such securities) of the underlying index.
PACA,Deutsche X-Trackers MSCI Latin A Pac Alliance ETF,PACA.K,PACA:US,,NYSEArca,15.83 - 15.92,61,04/14/2020,16.01, ,1609006.09, ,2018-10-30,0.45,,Global Equity ETF,137,,,,,na,na,na,na,na,na,na,,,,,,233051531,BYSQHD9,
USSG,Deutsche X-Trackers MSCI USA ESG Leaders Eq ETF,USSG.K,USSG:US,,NYSEArca,25.56 - 25.89,339375,04/14/2020,25.31, ,1572117440, ,2019-03-06,0.10,,US Equity ETF,313,,,,,na,na,na,na,na,na,na,,,,,,233051150,BGR7N51,Xtrackers MSCI USA ESG Leaders Equity ETF is an exchange-traded fund incorporated in the USA. The Fund seeks to track the performance of the MSCI USA ESG Leaders Equity Index. It invests in companies with high environmental social and governance performance relative to their sector peers consisting of large- and medium-capitalization securities in the U.S. market.
HDAW,Deutsche X-trackers MSCIAWdexUSHDvYdHgEq ETF,HDAW.K,HDAW:US,,NYSEArca,20.06 - 20.06,3277,04/14/2020,20.06,23852384,18905684.9,1,2015-08-12,0.20,,Global Equity ETF,340,,,,,na,na,na,na,na,na,na,,,,,,233051598,BX909S2,The investment seeks investment results that correspond generally to the performance of the MSCI ACWI ex US High Dividend Yield Index.  The fund will invest at least 80% of its total assets (but typically far more) in component securities of the underlying index. The underlying index is designed to reflect the performance of equities (excluding REITs) in its parent index  the MSCI ACWI ex US Index  with higher dividend income and quality characteristics than average dividend yields of equities in the parent index  where such higher dividend income and quality characteristics are both sustainable and persistent.
RVNU,Deutsche X-Trackers Muni Infras Revn Bd ETF,RVNU.K,RVNU:US,,NYSEArca,27.08 - 27.37,33106,04/14/2020,27.29,85966362,85743027.22,1,2013-06-04,0.15,,US Fixed Income ETF,228,,,,,na,na,na,na,na,na,na,,,,,,233051705,B9XQL26,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the Solactive Municipal Infrasucture Revenue Bond Index (the 'underlying index').  The fund will invest at least 80% of its total assets (but typically far more) in insuments that comprise the underlying index. The underlying index is comprised of tax-exempt municipal securities issued by states  cities  counties  disicts  their respective agencies  and other tax-exempt issuers. The fund is non-diversified.
DEUS,Deutsche X-Trackers Russell 1000 Cmprhsv Fac ETF,DEUS.K,DEUS:US,,NYSEArca,28.54 - 29.27,79901,04/14/2020,28.16,119665876,119382528.1,1,2015-11-24,0.17,,US Equity ETF,842,,,,,na,na,na,na,na,na,na,,,,,,233051481,BZ6DM23,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the Russell 1000 Comprehensive Factor Index.  The fund  using a 'passive' or indexing investment approach  seeks investment results that correspond generally to the performance of the underlying index  which is designed to track the equity market performance of companies in the United States selected on the investment style criteria ('factors') of value  momentum  quality  low volatility and size. It will invest at least 80% of its total assets (but typically far more) in component securities of the underlying index. The fund is non-diversified.
QARP,Deutsche X-Trackers Russell 1000 US  ETF,QARP.K,QARP:US,,NYSEArca,24.86 - 25.29,19154,04/14/2020,24.83, ,76993174.84, ,2018-04-04,0.19,,US Equity ETF,353,,,,,na,na,na,na,na,na,na,,,,,,233051242,BYZQT14,Xtrackers Russell 1000 US Quality at a Reasonable Price ETF is an exchange-traded fund incorporated in the USA. Its Index is designed to capture exposure to large-cap U.S. equitiesthat exhibit strong quality and value factor characteristics.
SNPE,Deutsche X-Trackers S&P 500 ESG ETF,SNPE.K,SNPE:US,,NYSEArca,24.16 - 25.43,95209,04/14/2020,24.14, ,100388524.2, ,2019-06-25,0.11,,US Equity ETF,314,,,,,na,na,na,na,na,na,na,,,,,,233051143,BHL36Y2,Xtrackers S&P 500 ESG ETF is an exchange-traded fund incorporated in the USA. The Fund seeks to track the performance of the S&P 500 ESG Index. The fund invests in companies with high environmental social and governance performance relative to their sector peers while maintaining similar overall industry group weights as the S&P 500 Index.
SHYL,Deutsche X-Trackers Short Duration High Yld Bd ETF,SHYL.K,SHYL:US,,NYSEArca,44.82 - 46.12,68345,04/14/2020,44.21, ,185062239.6, ,2018-01-09,0.20,,Global Fixed Income ETF,418,,,,,na,na,na,na,na,na,na,,,,,,233051283,BDFFJW5,
HYLB,Deutsche X-trackers USD HY Corp Bd,HYLB.K,HYLB:US,,NYSEArca,45.80 - 47.47,2358350,04/14/2020,45.73, ,3714772546,1,2016-12-06,0.15,,Global Fixed Income ETF,1070,,,,,na,na,na,na,na,na,na,,,,,,233051432,BZCGC26,The investment seeks investment results that correspond generally to the performance  before fees and expenses  of the Solactive USD High Yield Corporates Total Market Index (the 'underlying index').  The fund will normally invest at least 80% of its net assets  plus the amount of any borrowings for investment purposes  in high yield corporate bonds. The index comprised of U.S. dollar-denominated high yield corporate bonds. It will concenate its investments (i.e.  hold 25% or more of its total assets) in a particular indusy or group of indusies to the extent that its underlying index is concenated. The fund is non-diversified.
