NUM;ETF TYPE;EXCHANGE TRADED FUNDS NAME;ISIN;PRODUCT FAMILY;XETRA SYMBOL;REUTERS CODE;BLOOMBERG TICKER;MANAGEMENT FEE IN %;ONGOING CHARGES;USE OF PROFITS;REPLICATION METHOD;FUND CURRENCY;TRADING CURRENCY;MQV;MAX SPREAD;iNAV (REUTERS);iNAV (BLOOMBERG);BENCHMARK;HOMEPAGE ISSUER
66;ETF;Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C;LU0290358497;Xtrackers;DBXT;XEON.DE;XEON GY;;0,10%;Accumulating;Swap-based;EUR;EUR;50000 EUR;5,00%;XEONNAV=DBFT;;EONIA Index;www.etf.dws.com
67;ETF;Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1C;LU0290356871;Xtrackers;DBXP;X13E.DE;X13E GY;;0,15%;Accumulating;Optimised;EUR;EUR;300 shares;5,00%;X13ENAV=DBFT;X13EIV;Markit iBoxx EUR Eurozone 1-3 Index;www.etf.dws.com
68;ETF;Xtrackers II Eurozone Government Bond 15-30 UCITS ETF 1C;LU0290357507;Xtrackers;DBXF;X15E.DE;X15E GY;;0,15%;Accumulating;Optimised;EUR;EUR;150 shares;5,00%;X15ENAV=DBFT;X15EIV;Markit iBoxx EUR Eurozone 15-30 Index;www.etf.dws.com
69;ETF;Xtrackers II Eurozone Government Bond 25+ UCITS ETF 1C;LU0290357846;Xtrackers;DBXG;X25E.DE;X25E GY;;0,15%;Accumulating;Optimised;EUR;EUR;150 shares;5,00%;X25ENAV=DBFT;X25EIV;Markit iBoxx EUR Eurozone 25+ Index;www.etf.dws.com
70;ETF;Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1C;LU0290356954;Xtrackers;DBXQ;X35E.DE;X35E GY;;0,15%;Accumulating;Optimised;EUR;EUR;250 shares;5,00%;X35ENAV=DBFT;X35EIV;Markit iBoxx EUR Eurozone 3-5 Index;www.etf.dws.com
71;ETF;Xtrackers II Eurozone Government Bond 5-7 UCITS ETF 1C;LU0290357176;Xtrackers;DBXR;X57E.DE;X57E GY;;0,15%;Accumulating;Optimised;EUR;EUR;220 shares;5,00%;X57ENAV=DBFT;X57EIV;Markit iBoxx EUR Eurozone 5-7 Index;www.etf.dws.com
72;ETF;Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1C;LU0290357259;Xtrackers;DBXB;X710.DE;X710 GY;;0,15%;Accumulating;Optimised;EUR;EUR;200 shares;5,00%;X710NAV=DBFT;X710IV;Markit iBoxx EUR Eurozone 7-10 Index;www.etf.dws.com
73;ETF;Xtrackers II Eurozone Government Bond UCITS ETF 1C;LU0290355717;Xtrackers;DBXN;XGLE.DE;XGLE GY;;0,15%;Accumulating;Optimised;EUR;EUR;220 shares;5,00%;XGLENAV=DBFT;XGLEIV;Markit iBoxx EUR Sovereigns Eurozone Index;www.etf.dws.com
74;ETF;Xtrackers II Eurozone Inflation-Linked Bond UCITS ETF 1C;LU0290358224;Xtrackers;DBXK;XEIN.DE;XEIN GY;;0,20%;Accumulating;Optimised;EUR;EUR;250 shares;5,00%;XEINEURINAV=SOLA;XEINEIV;Bloomberg Barclays Euro Government Inflation-Linked Bond Index;www.etf.dws.com
75;ETF;Xtrackers II Global Inflation-Linked Bond UCITS ETF 1C EUR Hedged;LU0290357929;Xtrackers;DBXH;XGIN.DE;XGIN GY;;0,25%;Accumulating;Optimised;EUR;EUR;50000 EUR;5,00%;XGINNAV=DBFT;XGINEIV;Bloomberg Barclays World Government Inflation-Linked Bond Index;www.etf.dws.com
76;ETF;Xtrackers FTSE 250 UCITS ETF 1D;LU0292097317;Xtrackers;DBXY;XMCX.DE;XMCX GY;;0,15%;Distributing;Full Replication;GBP;EUR;1000 shares;5,00%;XMCXNAV.DE;XMCXINAV;FTSE 250 Index;www.etf.dws.com
77;ETF;Xtrackers FTSE All-Share UCITS ETF 1D;LU0292097747;Xtrackers;DBXZ;XASX.DE;XASX GY;;0,20%;Distributing;Optimised;GBP;EUR;1000 shares;5,00%;XASXNAV.DE;XASXINAV;FTSE All Share Index;www.etf.dws.com
78;ETF;Xtrackers FTSE China 50 UCITS ETF 1C;LU0292109856;Xtrackers;DBX9;XX25.DE;XX25 GY;;0,60%;Accumulating;Full Replication;USD;EUR;1000 shares;5,00%;XX25NAV.DE;XX25INAV;FTSE China 50 Index;www.etf.dws.com
79;ETF;Xtrackers MSCI Brazil UCITS ETF 1C;LU0292109344;Xtrackers;DBX6;XMBR.DE;XMBR GY;;0,65%;Accumulating;Full Replication;USD;EUR;1000 shares;5,00%;XMBRNAV.DE;XMBRINAV;MSCI Brazil Index;www.etf.dws.com
80;ETF;Xtrackers MSCI EM Asia Swap UCITS ETF 1C;LU0292107991;Xtrackers;DBX2;XMAS.DE;XMAS GY;;0,65%;Accumulating;Swap-based;USD;EUR;1000 shares;5,00%;XMASNAV.DE;XMASINAV;MSCI EM Asia Index;www.etf.dws.com
81;ETF;Xtrackers MSCI EM Europe, Middle East & Africa Swap UCITS ETF 1C;LU0292109005;Xtrackers;DBX4;XMEA.DE;XMEA GY;;0,65%;Accumulating;Swap-based;USD;EUR;1000 shares;5,00%;XMEANAV.DE;XMEAINAV;MSCI EM EMEA Index;www.etf.dws.com
82;ETF;Xtrackers MSCI EM Latin America Swap UCITS ETF 1C;LU0292108619;Xtrackers;DBX3;XMLA.DE;XMLA GY;;0,65%;Accumulating;Swap-based;USD;EUR;1000 shares;5,00%;XMLANAV.DE;XMLAINAV;MSCI EM Latin America Index;www.etf.dws.com
83;ETF;Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C;LU0292107645;Xtrackers;DBX1;XMEM.DE;XMEM GY;;0,49%;Accumulating;Swap-based;USD;EUR;1000 shares;5,00%;XMEMNAV.DE;XMEMINAV;MSCI Emerging Markets Index;www.etf.dws.com
84;ETF;Xtrackers MSCI Taiwan UCITS ETF 1C;LU0292109187;Xtrackers;DBX5;XMTW.DE;XMTW GY;;0,65%;Accumulating;Full Replication;USD;EUR;1000 shares;5,00%;XMTWNAV.DE;XMTWINAV;MSCI Taiwan Index;www.etf.dws.com
85;ETF;Xtrackers DBLCI Commodity Optimum Yield Swap UCITS ETF 1C EUR Hedged;LU0292106167;Xtrackers;DXSM;XDBC.DE;XDBC GY;;0,55%;Accumulating;Swap-based;EUR;EUR;1000 shares;5,00%;XDBCNAV.DE;XDBCINAV;DBLCI OY Balanced Index;www.etf.dws.com
86;ETF;Xtrackers STOXX Europe 600 Banks Swap UCITS ETF 1C;LU0292103651;Xtrackers;DXSF;XS7R.DE;XS7R GY;;0,30%;Accumulating;Swap-based;EUR;EUR;1000 shares;5,00%;XS7RNAV.DE;XS7RINAV;STOXX Europe 600 Banks Index;www.etf.dws.com
87;ETF;Xtrackers STOXX Europe 600 Basic Resources Swap UCITS ETF 1C;LU0292100806;Xtrackers;DXSC;XSPR.DE;XSPR GY;;0,30%;Accumulating;Swap-based;EUR;EUR;1000 shares;5,00%;XSPRNAV.DE;XSPRINAV;STOXX Europe 600 Basic Resources Index;www.etf.dws.com
88;ETF;Xtrackers STOXX Europe 600 Food & Beverage Swap UCITS ETF 1C;LU0292105359;Xtrackers;DXSK;XS3R.DE;XS3R GY;;0,30%;Accumulating;Swap-based;EUR;EUR;500 shares;5,00%;XS3RNAV.DE;XS3RINAV;STOXX Europe 600 Food & Beverage Index;www.etf.dws.com
89;ETF;Xtrackers STOXX Europe 600 Health Care Swap UCITS ETF 1C;LU0292103222;Xtrackers;DXSE;XSDR.DE;XSDR GY;;0,30%;Accumulating;Swap-based;EUR;EUR;450 shares;5,00%;XSDRNAV.DE;XSDRINAV;STOXX Europe 600 Health Care Index;www.etf.dws.com
90;ETF;Xtrackers STOXX Europe 600 Industrial Goods Swap UCITS ETF 1C;LU0292106084;Xtrackers;DXSL;XSNR.DE;XSNR GY;;0,30%;Accumulating;Swap-based;EUR;EUR;700 shares;5,00%;XSNRNAV.DE;XSNRINAV;STOXX Europe 600 Industrial Goods & Services Index;www.etf.dws.com
91;ETF;Xtrackers STOXX Europe 600 Oil & Gas Swap UCITS ETF 1C;LU0292101796;Xtrackers;DXSD;XSER.DE;XSER GY;;0,30%;Accumulating;Swap-based;EUR;EUR;900 shares;5,00%;XSERNAV.DE;XSERINAV;STOXX Europe 600 Oil & Gas Index;www.etf.dws.com
92;ETF;Xtrackers STOXX Europe 600 Technology Swap UCITS ETF 1C;LU0292104469;Xtrackers;DXSH;XS8R.DE;XS8R GY;;0,30%;Accumulating;Swap-based;EUR;EUR;1000 shares;5,00%;XS8RNAV.DE;XS8RINAV;STOXX Europe 600 Technology Index;www.etf.dws.com
93;ETF;Xtrackers STOXX Europe 600 Telecommunications Swap UCITS ETF 1C;LU0292104030;Xtrackers;DXSG;XSKR.DE;XSKR GY;;0,30%;Accumulating;Swap-based;EUR;EUR;700 shares;5,00%;XSKRNAV.DE;XSKRINAV;STOXX Europe 600 Telecommunications Index;www.etf.dws.com
94;ETF;Xtrackers STOXX Europe 600 Utilities Swap UCITS ETF 1C;LU0292104899;Xtrackers;DXSI;XS6R.DE;XS6R GY;;0,30%;Accumulating;Swap-based;EUR;EUR;700 shares;5,00%;XS6RNAV.DE;XS6RINAV;STOXX Europe 600 Utilities Index;www.etf.dws.com
95;ETF;Xtrackers II iTraxx Crossover Swap UCITS ETF 1C;LU0290359032;Xtrackers;DBXM;XTXC.DE;XTXC GY;;0,24%;Accumulating;Swap-based;EUR;EUR;50000 EUR;5,00%;XTXCNAV=DBFT;;iTraxx Crossover 5-Year Index;www.etf.dws.com
96;ETF;Xtrackers II iTraxx Europe Swap UCITS ETF 1C;LU0290358653;Xtrackers;DXSQ;XTXE.DE;XTXE GY;;0,18%;Accumulating;Swap-based;EUR;EUR;450 shares;5,00%;XTXENAV=DBFT;;iTraxx Europe 5-Year Index;www.etf.dws.com
97;ETF;Xtrackers MSCI Korea UCITS ETF 1C;LU0292100046;Xtrackers;DBX8;XMKO.DE;XMKO GY;;0,65%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;XMKONAV.DE;XMKOINAV;MSCI Korea Index;www.etf.dws.com
98;ETF;Xtrackers Nifty 50 Swap UCITS ETF 1C;LU0292109690;Xtrackers;DBX7;XNIF.DE;XNIF GY;;0,85%;Accumulating;Swap-based;USD;EUR;500 shares;5,00%;XNIFNAV.DE;XNIFINAV;Nifty 50 Index;www.etf.dws.com
99;ETF;iShares Diversified Commodity Swap UCITS ETF (DE);DE000A0H0728;iShares;EXXY;DJCOMEX.DE;DJCOMEX GY;;0,46%;Accumulating;Swap-based;EUR;EUR;100000 EUR;3,00%;DJCOMNAV.DE;DJCOMNAV;Bloomberg Commodity Index;www.ishares.com
100;ETF;Lyxor EURO STOXX 50 Daily (2x) Leverage UCITS ETF - Acc;FR0010468983;Lyxor;LYMZ;LYXLVE.DE;LYXLVE GY;;0,40%;Accumulating;Swap-based;EUR;EUR;100000 EUR;3,00%;.INLVE;DJLEVIV;EURO STOXX 50 Leverage Index;www.lyxoretf.de
101;ETF;Lyxor MSCI Emerging Markets UCITS ETF - Acc (EUR);FR0010429068;Lyxor;LYM7;LYXLEM.DE;LYXLEM GY;;0,55%;Accumulating;Swap-based;EUR;EUR;100000 EUR;5,00%;.INLEM;LYXLEMIV;MSCI Emerging Markets Index;www.lyxoretf.de
102;ETF;Invesco FTSE RAFI US 1000 UCITS ETF Dist;IE00B23D8S39;Invesco;6PSA;6PSA.DE;6PSA GY;;0,39%;Distributing;Full Replication;USD;EUR;100000 EUR;5,00%;PSRFEUiv.P;PSRFEUIV;FTSE RAFI US 1000 Index;etf.invesco.com
103;ETF;Invesco FTSE RAFI Emerging Markets UCITS ETF Dist;IE00B23D9570;Invesco;6PSK;6PSK.DE;6PSK GY;;0,49%;Distributing;Full Replication;USD;EUR;100000 EUR;5,00%;PSDEEUiv.P;PSDEEUIV;FTSE RAFI Emerging Markets Index;etf.invesco.com
104;ETF;Invesco FTSE RAFI Europe UCITS ETF Dist;IE00B23D8X81;Invesco;6PSC;6PSC.DE;6PSC GY;;0,39%;Distributing;Full Replication;EUR;EUR;100000 EUR;5,00%;6PSCNAV.DE;PSREEUIV;FTSE RAFI Europe Index;etf.invesco.com
105;ETF;Lyxor New Energy UCITS ETF - Dist;FR0010524777;Lyxor;LYM9;LYXNRJ.DE;LYXNRJ GY;;0,60%;Distributing;Swap-based;EUR;EUR;100000 EUR;4,00%;.INNRJ;ENERIV;World Alternative Energy Index;www.lyxoretf.de
106;ETF;Lyxor World Water UCITS ETF - Dist;FR0010527275;Lyxor;LYM8;LYXWAT.DE;LYXWAT GY;;0,60%;Distributing;Swap-based;EUR;EUR;100000 EUR;4,00%;.INWAT;LYWATIV;World Water Index;www.lyxoretf.de
107;ETF;Xtrackers II GBP Overnight Rate Swap UCITS ETF 1D;LU0321464652;Xtrackers;DXS1;XSTR.DE;XSTR GY;;0,15%;Distributing;Swap-based;GBP;EUR;250 shares;5,00%;XSTRNAV=DBFT;;SONIA Index;www.etf.dws.com
108;ETF;Xtrackers II iBoxx Germany Covered Bond Swap UCITS ETF 1C;LU0321463506;Xtrackers;DXSW;XBCT.DE;XBCT GY;;0,15%;Accumulating;Swap-based;EUR;EUR;250 shares;5,00%;XBCTNAV=DBFT;XBCTEUIV;Markit iBoxx EUR Germany Covered Index;www.etf.dws.com
109;ETF;Xtrackers II iTraxx Crossover Short Daily Swap UCITS ETF 1C;LU0321462870;Xtrackers;DXST;XTC5.DE;XTC5 GY;;0,24%;Accumulating;Swap-based;EUR;EUR;1000 shares;5,00%;XTC5NAV=DBFT;;iTraxx Crossover 5-Year Short Index;www.etf.dws.com
110;ETF;Xtrackers II USD Overnight Rate Swap UCITS ETF 1C;LU0321465469;Xtrackers;DXSZ;XFFE.DE;XFFE GY;;0,15%;Accumulating;Swap-based;USD;EUR;350 shares;5,00%;XFFENAV=DBFT;XFFEEIV;FED Funds Effective Rate Index;www.etf.dws.com
111;ETF;Xtrackers FTSE Vietnam Swap UCITS ETF 1C;LU0322252924;Xtrackers;DXS7;XFVT.DE;XFVT GY;;0,85%;Accumulating;Swap-based;USD;EUR;1000 shares;5,00%;XFVTINAV.DE;XFVTINAV;FTSE Vietnam Index;www.etf.dws.com
112;ETF;Xtrackers LPX Private Equity Swap UCITS ETF 1C;LU0322250712;Xtrackers;DX2D;XLPE.DE;XLPE GY;;0,70%;Accumulating;Swap-based;EUR;EUR;1000 shares;5,00%;XLPEINAV.DE;XLPEINAV;LPX Major Market Index;www.etf.dws.com
113;ETF;Xtrackers MSCI Europe Mid Cap UCITS ETF 1C;LU0322253732;Xtrackers;DX2I;XEUM.DE;XEUM GY;;0,25%;Accumulating;Full Replication;USD;EUR;650 shares;5,00%;XEUMINAV.DE;XEUMINAV;MSCI Europe Mid Cap Index;www.etf.dws.com
114;ETF;Xtrackers MSCI Europe Small Cap UCITS ETF 1C;LU0322253906;Xtrackers;DX2J;XXSC.DE;XXSC GY;;0,30%;Accumulating;Optimised;EUR;EUR;1000 shares;5,00%;XXSCINAV.DE;XXSCEIV;MSCI Europe Small Cap Index;www.etf.dws.com
115;ETF;Xtrackers MSCI Russia Capped Swap UCITS ETF 1C;LU0322252502;Xtrackers;DBXV;XMRC.DE;XMRC GY;;0,65%;Distributing;Swap-based;USD;EUR;1000 shares;5,00%;XMRCINAV.DE;XMRCINAV;MSCI Russia 25% Capped Index;www.etf.dws.com
116;ETF;Xtrackers S&P 500 Inverse Daily Swap UCITS ETF 1C;LU0322251520;Xtrackers;DXS3;DXS3.DE;DXS3 GY;;0,50%;Accumulating;Swap-based;USD;EUR;1000 shares;5,00%;XSPSINAV.DE;XSPSINAV;S&P 500 Short Index;www.etf.dws.com
117;ETF;Xtrackers S&P ASX 200 UCITS ETF 1D;LU0328474803;Xtrackers;DX2S;XAUS.DE;XAUS GY;;0,50%;Distributing;Full Replication;AUD;EUR;1000 shares;5,00%;XAUSINAV.DE;XAUSINAV;S&P/ASX 200 Index;www.etf.dws.com
118;ETF;Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C;LU0322253229;Xtrackers;DX2E;XSGI.DE;XSGI GY;;0,60%;Accumulating;Swap-based;USD;EUR;1000 shares;5,00%;XSGIINAV.DE;XSGIINAV;S&P Global Infrastructure Index;www.etf.dws.com
119;ETF;Xtrackers SLI UCITS ETF 1D;LU0322248146;Xtrackers;DXS0;XSLI.DE;XSLI GY;;0,25%;Distributing;Full Replication;CHF;EUR;450 shares;5,00%;XSLINAV.DE;XSLIINAV;SLI Swiss Leader Index;www.etf.dws.com
120;ETF;Xtrackers S&P Select Frontier Swap UCITS ETF 1C;LU0328476410;Xtrackers;DX2Z;XSFR.DE;XSFR GY;;0,95%;Accumulating;Swap-based;USD;EUR;1000 shares;5,00%;XSFRINAV.DE;XSFRINAV;S&P Select Frontier Index;www.etf.dws.com
121;ETF;Lyxor Euro Overnight Return UCITS ETF - Acc;FR0010510800;Lyxor;L8I3;LYXCSH.DE;LYXCSH GY;;0,10%;Accumulating;Swap-based;EUR;EUR;100000 EUR;0,06%;.INCSH;CSHIV;Solactive Euro Overnight Return Index;www.lyxoretf.de
122;ETF;Deka DAX UCITS ETF;DE000ETFL011;Deka ETF;EL4A;ETFGDAXI.DE;ETFDAX GY;;0,15%;Accumulating;Full Replication;EUR;EUR;100000 EUR;1,00%;IGDAXI.DE;IDAX;DAX Index;www.deka-etf.de
123;ETF;Deka EURO STOXX 50 UCITS ETF;DE000ETFL029;Deka ETF;EL4B;ETFSTOXX50E.DE;ETFSX5E GY;;0,15%;Distributing;Full Replication;EUR;EUR;100000 EUR;1,00%;ISTOXX50E.DE;ISX5E;EURO STOXX 50 Index;www.deka-etf.de
124;ETF;Deka STOXX Europe Strong Growth 20 UCITS ETF;DE000ETFL037;Deka ETF;EL4C;ETFSG2P.DE;ETFSG2P GY;;0,65%;Distributing;Full Replication;EUR;EUR;100000 EUR;3,00%;ISG2P.DE;ISG2P;STOXX Europe Strong Growth 20 Index;www.deka-etf.de
125;ETF;Deka STOXX Europe Strong Style Composite 40 UCITS ETF;DE000ETFL052;Deka ETF;EL4E;ETFSS4P.DE;ETFSS4P GY;;0,65%;Distributing;Full Replication;EUR;EUR;100000 EUR;3,00%;ISS4P.DE;ISS4P;STOXX Europe Strong Style Composite 40 Index;www.deka-etf.de
126;ETF;Deka STOXX Europe Strong Value 20 UCITS ETF;DE000ETFL045;Deka ETF;EL4D;ETFSV2P.DE;ETFSV2P GY;;0,65%;Distributing;Full Replication;EUR;EUR;100000 EUR;3,00%;ISV2P.DE;ISV2P;STOXX Europe Strong Value 20 Index;www.deka-etf.de
127;ETF;Xtrackers II EUR Overnight Rate Swap UCITS ETF 1D;LU0335044896;Xtrackers;DX22;XEOD.DE;XEOD GY;;0,10%;Distributing;Swap-based;EUR;EUR;400 shares;5,00%;XEODNAV=DBFT;;EONIA Index;www.etf.dws.com
128;ETF;Xtrackers II Eurozone Government Bond Short Daily Swap UCITS ETF 1C;LU0321463258;Xtrackers;DXSV;XSGL.DE;XSGL GY;;0,15%;Accumulating;Swap-based;EUR;EUR;650 shares;5,00%;XSGLNAV=DBFT;;Short iBoxx EUR Sovereigns Eurozone Short Index;www.etf.dws.com
129;ETF;Xtrackers II USD Emerging Markets Bond UCITS ETF 1C EUR Hedged;LU0321462953;Xtrackers;DXSU;XEMB.DE;XEMB GY;;0,40%;Accumulating;Optimised;USD;EUR;50000 EUR;5,00%;XEMBNAV=DBFT;XEMBEUIV;FTSE Emerging Markets USD Government and Government-Related Bond Select Index;www.etf.dws.com
130;ETF;Deka DAX (ausschuettend) UCITS ETF;DE000ETFL060;Deka ETF;EL4F;ETFGDAXP.DE;ETFDAXK GY;;0,15%;Distributing;Full Replication;EUR;EUR;100000 EUR;1,00%;IGDAXP.DE;IDAXK;DAX Index;www.deka-etf.de
131;ETF;Deka EURO STOXX Select Dividend 30 UCITS ETF;DE000ETFL078;Deka ETF;EL4G;ETFSD3E.DE;ETFSD3E GY;;0,30%;Distributing;Full Replication;EUR;EUR;100000 EUR;1,00%;ISD3E.DE;ISD3E;EURO STOXX Select Dividend 30 Index;www.deka-etf.de
132;ETF;Lyxor EURO STOXX 50 Daily (-1x) Inverse UCITS ETF - Acc;FR0010424135;Lyxor;LSK7;LSK7.DE;LSK7 GY;;0,40%;Accumulating;Swap-based;EUR;EUR;100000 EUR;0,60%;.INBSX;BSXIV;EURO STOXX 50 Short Index;www.lyxoretf.de
133;ETF;Lyxor EURO STOXX 50 Daily (-2x) UCITS ETF - Acc;FR0010424143;Lyxor;LSK8;LSK8.DE;BXXP GY;;0,60%;Accumulating;Swap-based;EUR;EUR;100000 EUR;0,60%;;BXXIV;EURO STOXX 50 Double Short Index;www.lyxoretf.de
134;ETF;iShares eb.rexx® Government Germany 0-1yr UCITS ETF (DE);DE000A0Q4RZ9;iShares;EXVM;EBMMEX.DE;EBMMEX GY;;0,13%;Distributing;Optimised;EUR;EUR;100000 EUR;1,00%;EBMMNAV.DE;EBMMNAV;eb.rexx Government Germany 0-1 Index;www.ishares.com
135;ETF;UBS ETF (LU) MSCI World UCITS ETF (USD) A-dis;LU0340285161;UBS ETF;UIM7;WRDEUA.DE;WRDEUA GY;;0,30%;Distributing;Full Replication;USD;EUR;200000 EUR;2,00%;.IWRDEUA;UETFUIM7;MSCI World Index;www.ubs.com/etf
136;ETF;Xtrackers FTSE 100 Short Daily Swap UCITS ETF 1C;LU0328473581;Xtrackers;DX2K;XUKS.DE;XUKS GY;;0,50%;Accumulating;Swap-based;GBP;EUR;1000 shares;5,00%;XUKSNAV.DE;XUKSINAV;FTSE 100 Short Index;www.etf.dws.com
137;ETF;Deka MSCI Europe LC UCITS ETF;DE000ETFL086;Deka ETF;EL4H;ETFEULC.DE;ETFEULC GY;;0,30%;Distributing;Full Replication;EUR;EUR;100000 EUR;3,00%;IEULC.DE;IEULC;MSCI Europe Large Cap Index;www.deka-etf.de
138;ETF;Deka MSCI Japan LC UCITS ETF;DE000ETFL102;Deka ETF;EL4J;ETFJPLC.DE;ETFJPLC GY;;0,50%;Distributing;Full Replication;JPY;EUR;50000 EUR;3,00%;IJPLC.DE;IJPLC;MSCI Japan Large Cap Index;www.deka-etf.de
139;ETF;Deka MSCI USA LC UCITS ETF;DE000ETFL094;Deka ETF;EL4I;ETFUSLC.DE;ETFUSLC GY;;0,30%;Distributing;Full Replication;USD;EUR;100000 EUR;3,00%;IUSLC.DE;IUSLC;MSCI USA Large Cap Index;www.deka-etf.de
140;ETF;Xtrackers Euro Stoxx 50 UCITS ETF 1C;LU0380865021;Xtrackers;DXET;XESC.DE;XESC GY;;0,09%;Accumulating;Full Replication;EUR;EUR;1000 shares;5,00%;DX4Q6FINAV.DE;XESCINAV;EURO STOXX 50 Index;www.etf.dws.com
141;ETF;ComStage DAX UCITS ETF;LU0378438732;Lyxor;C001;C001.DE;CBDAX GY;;0,08%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBDAXEURINAV=SOLA;CNAVDAX;DAX Index;www.lyxoretf.de
142;ETF;ComStage Dow Jones Industrial Average UCITS ETF;LU0378437502;Lyxor;C010;C010.DE;CBINDU GY;;0,45%;Accumulating;Swap-based;USD;EUR;100000 EUR;1,00%;CBINDUEURINAV=SOLA;CNAVINDU;DJ Industrial Average Index;www.lyxoretf.de
143;ETF;ComStage EONIA Index UCITS ETF;LU0378437684;Lyxor;C100;CBEONIA.DE;CBEONIA GY;;0,10%;Accumulating;Swap-based;EUR;EUR;100000 EUR;0,20%;CBEONIAEURINAV=SOLA;CNAVEONI;Solactive Euro Overnight Return Index;www.lyxoretf.de
144;ETF;ComStage EURO STOXX 50 UCITS ETF;LU0378434079;Lyxor;C050;C050.DE;CBSX5T GY;;0,08%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSX5TEURINAV=SOLA;CNAVSX5T;EURO STOXX 50 Index;www.lyxoretf.de
145;ETF;ComStage EURO STOXX Select Dividend 30 UCITS ETF;LU0378434236;Lyxor;C051;CBSD3T.DE;CBSD3T GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;3,00%;CBSD3TEURINAV=SOLA;CNAVSD3T;EURO STOXX Select Dividend 30 Index;www.lyxoretf.de
146;ETF;ComStage Nasdaq-100 UCITS ETF;LU0378449770;Lyxor;C011;CBNDX.DE;CBNDX GY;;0,25%;Accumulating;Swap-based;USD;EUR;100000 EUR;3,00%;CBNDXEURINAV=SOLA;CNAVNDX;Nasdaq 100 Index;www.lyxoretf.de
147;ETF;ComStage Nikkei 225 UCITS ETF;LU0378453376;Lyxor;C020;C020.DE;CBNKY GY;;0,25%;Accumulating;Swap-based;JPY;EUR;100000 EUR;2,00%;CBNKYEURINAV=SOLA;CNAVNKY;Nikkei 225 Index;www.lyxoretf.de
148;ETF;ComStage STOXX Europe 600 Automobiles & Parts UCITS ETF;LU0378435043;Lyxor;C061;CBSXAR.DE;CBSXAR GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSXAREURINAV=SOLA;CNAVSXAR;STOXX Europe 600 Automobiles & Parts Index;www.lyxoretf.de
149;ETF;ComStage STOXX Europe 600 Banks UCITS ETF;LU0378435399;Lyxor;C062;CBSX7R.DE;CBSX7R GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSX7REURINAV=SOLA;CNAVSX7R;STOXX Europe 600 Banks Index;www.lyxoretf.de
150;ETF;ComStage STOXX Europe 600 Basic Resources UCITS ETF;LU0378435472;Lyxor;C063;CBSXPR.DE;CBSXPR GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSXPREURINAV=SOLA;CNAVSXPR;STOXX Europe 600 Basic Resources Index;www.lyxoretf.de
151;ETF;ComStage STOXX Europe 600 Chemicals UCITS ETF;LU0378435555;Lyxor;C064;CBSX4R.DE;CBSX4R GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSX4REURINAV=SOLA;CNAVSX4R;STOXX Europe 600 Chemicals Index;www.lyxoretf.de
152;ETF;ComStage STOXX Europe 600 Construction & Materials UCITS ETF;LU0378435639;Lyxor;C065;CBSXOR.DE;CBSXOR GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSXOREURINAV=SOLA;CNAVSXOR;STOXX Europe 600 Construction & Materials Index;www.lyxoretf.de
153;ETF;ComStage STOXX Europe 600 Financial Services UCITS ETF;LU0378435712;Lyxor;C066;CBSXFR.DE;CBSXFR GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSXFREURINAV=SOLA;CNAVSXFR;STOXX Europe 600 Financial Services Index;www.lyxoretf.de
154;ETF;ComStage STOXX Europe 600 Food & Beverage UCITS ETF;LU0378435803;Lyxor;C067;CBSX3R.DE;CBSX3R GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSX3REURINAV=SOLA;CNAVSX3R;STOXX Europe 600 Food & Beverage Index;www.lyxoretf.de
155;ETF;ComStage STOXX Europe 600 Health Care UCITS ETF;LU0378435985;Lyxor;C068;CBSXDR.DE;CBSXDR GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSXDREURINAV=SOLA;CNAVSXDR;STOXX Europe 600 Health Care Index;www.lyxoretf.de
156;ETF;ComStage STOXX Europe 600 Industrial Goods & Services UCITS ETF;LU0378436017;Lyxor;C069;CBSXNR.DE;CBSXNR GY;;0,25%;Distributing;Full Replication;EUR;EUR;100000 EUR;2,00%;CBSXNREURINAV=SOLA;CNAVSXNR;STOXX Europe 600 Industrial Goods & Services Index;www.lyxoretf.de
